familia,nivel,cod_ciclo,nombre
IFC,GS,12242002,Desarrollo de Aplicaciones Multiplataforma
IFC,GS,12242003,Desarrollo de Aplicaciones Web
IFC,GB,12342002,Informática de oficina
IFC,GS,12242001,Administración de Sistemas Informáticos en Red
IFC,GM,12142001,Sistemas Microinformáticos y Redes
IFC,GB,12342001,Informática y Comunicaciones
ADM,GB,12342002,Informática de oficina
ADM,GB,12342101,Servicios Administrativos
ADM,GM,12142101,Gestión Administrativa
ADM,GS,12242102,Administración y Finanzas
ADM,GS,12242101,Asistencia a la dirección
COM,GM,12142201,Actividades comerciales
COM,GB,12342201,Servicios Comerciales
COM,GM,12142202,Comercialización de Productos Alimentarios
COM,GS,12242201,Comercio Internacional
COM,GS,12242202,Gestión de ventas y espacios comerciales
COM,GS,12242203,Marketing y publicidad
COM,GS,12242204,Transporte y Logística
