cod_modulo,id_ra,id_criterio,definicion
483,1,a,Se han reconocido los componentes físicos de un sistema informático y sus mecanismos de interconexión.
483,1,b,"Se han clasificado los tipos de memorias, señalando sus características e identifcando sus prestaciones y la función que desarrollan en el conjunto del sistema."
483,1,c,Se ha verificado el proceso de puesta en marcha de un equipo.
483,1,d,"Se han clasificado, instalado y configurado diferentes tipos de dispositivos periféricos."
483,1,e,Se han identificado los tipos de redes y sistemas de comunicación.
483,1,f,Se han identificado los componentes de una red informática.
483,1,g,Se han interpretado mapas físicos y lógicos de una red informática.
483,1,h,Se han reconocido las normas de seguridad y prevención de riesgos laborales en el uso de los sistemas informáticos.
483,3,a,Se han identificado los elementos funcionales de un sistema informático.
483,2,b,"Se han analizado las características, funciones y arquitectura de un sistema operativo."
483,2,c,"Se han comparado sistemas operativos en base a sus requisitos, características, campos de aplicación y licencias de uso."
483,2,d,Se ha planificado el proceso de la instalación de sistemas operativos.
483,2,e,Se han instalado y actualizado sistemas operativos libres y propietarios.
483,2,f,Se han aplicado técnicas de actualización y recuperación del sistema.
483,2,g,Se han utilizado tecnologías de virtualización para instalar y probar sistemas operativos.
483,2,h,"Se han instalado, desinstalado y actualizado aplicaciones."
483,2,i,Se han documentado los procesos realizados.
483,3,b,Se ha identificado la estructura y función de los directorios del sistema operativo.
483,3,c,Se han utilizado herramientas en entorno gráfico y comandos para localizar información en el sistema de archivos.
483,3,d,Se han creado diferentes tipos de particiones y unidades lógicas.
483,3,e,Se han realizado y restaurado copias de seguridad.
483,3,f,Se han planificado y automatizado tareas.
483,3,g,Se han instalado y evaluado utilidades relacionadas con la gestión de información.
483,4,a,Se han configurado cuentas de usuario locales y grupos.
483,4,b,Se ha asegurado el acceso al sistema mediante el uso de directivas de cuenta y directivas de contraseñas.
483,4,c,"Se han identificado, arrancado y detenido servicios y procesos."
483,4,d,Se ha protegido el acceso a la información mediante el uso de permisos locales y listas de control de acceso.
483,4,e,Se han utilizado comandos para realizar las tareas básicas de configuración y administración del sistema.
483,4,f,Se ha monitorizado el sistema.
483,4,g,Se han instalado y evaluado utilidades para el mantenimiento y optimización del sistema.
483,4,h,Se han evaluado las necesidades del sistema informático en relación con el desarrollo de aplicaciones.
483,5,a,Se ha configurado el protocolo TCP/IP.
483,5,b,Se han configurado redes de área local cableadas.
483,5,c,Se han configurado redes de área local inalámbricas.
483,5,d,Se han utilizado dispositivos de interconexión de redes.
483,5,e,Se ha configurado el acceso a redes de área extensa.
483,5,f,Se han gestionado puertos de comunicaciones.
483,5,g,Se ha verificado el funcionamiento de la red mediante el uso de comandos y herramientas básicas.
483,5,h,Se han aplicado protocolos seguros de comunicaciones.
483,6,a,Se ha configurado el acceso a recursos locales y recursos de red.
483,6,b,Se han identificado y configurado los derechos de usuario y directivas de seguridad.
483,6,c,"Se han explotado servidores de ficheros, servidores de impresión y servidores de aplicaciones."
483,6,d,Se ha accedido a los servidores utilizando técnicas de conexión remota.
483,6,e,Se ha evaluado la necesidad de proteger los recursos y el sistema.
483,6,f,Se han instalado y evaluado utilidades de seguridad básica.
483,6,g,Se han configurado y explotado dominios.
483,7,a,Se ha clasificado software en función de su licencia y propósito.
483,7,b,Se han analizado las necesidades específicas de software asociadas al uso de sistemas informáticos en diferentes entornos productivos.
483,7,c,Se han realizado tareas de documentación mediante el uso de herramientas ofimáticas y de trabajo colaborativo.
483,7,d,Se han utilizado sistemas de correo y mensajería electrónica.
483,7,e,Se han utilizado los servicios de transferencia de ficheros.
483,7,f,Se han utilizado métodos de búsqueda de documentación técnica mediante el uso de servicios de Internet.
483,7,g,Se han utilizado herramientas de propósito general.
484,1,a,Se han analizado los sistemas lógicos de almacenamiento y sus características.
484,1,b,Se han identificado los distintos tipos de bases de datos según el modelo de datos utilizado.
484,1,c,Se han identificado los distintos tipos de bases de datos en función de la ubicación de la información.
484,1,d,Se ha evaluado la utilidad de un sistema gestor de bases de datos.
484,1,e,Se ha reconocido la función de cada uno de los elementos de un sistema gestor de bases de datos.
484,1,f,Se han clasificado los sistemas gestores de bases de datos.
484,1,g,Se ha reconocido la utilidad de las bases de datos distribuidas.
484,1,h,Se han analizado las políticas de fragmentación de la información.
484,1,i,Se ha identificado la legislación vigente sobre protección de datos.
484,1,j,Se han reconocido los conceptos de Big Data y de la inteligencia de negocios.
484,2,a,Se ha analizado el formato de almacenamiento de la información.
484,2,b,Se han creado las tablas y las relaciones entre ellas.
484,2,c,Se han seleccionado los tipos de datos adecuados.
484,2,d,Se han definido los campos clave en las tablas.
484,2,e,Se han implantado las restricciones reflejadas en el diseño lógico.
484,2,f,Se han creado vistas.
484,2,g,Se han creado los usuarios y se les han asignado privilegios.
484,2,h,"Se han utilizado asistentes, herramientas gráficas y los lenguajes de definición y control de datos."
484,3,a,Se han identificado las herramientas y sentencias para realizar consultas.
484,3,b,Se han realizado consultas simples sobre una tabla.
484,3,c,Se han realizado consultas sobre el contenido de varias tablas mediante composiciones internas.
484,3,d,Se han realizado consultas sobre el contenido de varias tablas mediante composiciones externas.
484,3,e,Se han realizado consultas resumen.
484,3,f,Se han realizado consultas con subconsultas.
484,3,g,Se han realizado consultas que implican múltiples selecciones.
484,3,h,Se han aplicado criterios de optimización de consultas.
484,4,a,Se han identificado las herramientas y sentencias para modificar el contenido de la base de datos.
484,4,b,"Se han insertado, borrado y actualizado datos en las tablas."
484,4,c,Se ha incluido en una tabla la información resultante de la ejecución de una consulta.
484,4,d,Se han diseñado guiones de sentencias para llevar a cabo tareas complejas.
484,4,e,Se ha reconocido el funcionamiento de las transacciones.
484,4,f,Se han anulado parcial o totalmente los cambios producidos por una transacción.
484,4,g,Se han identificado los efectos de las distintas políticas de bloqueo de registros.
484,4,h,Se han adoptado medidas para mantener la integridad y consistencia de la información.
484,5,a,Se han identificado las diversas formas de automatizar tareas.
484,5,b,Se han reconocido los métodos de ejecución de guiones.
484,5,c,Se han identificado las herramientas disponibles para editar guiones.
484,5,d,Se han definido y utilizado guiones para automatizar tareas.
484,5,e,Se ha hecho uso de las funciones proporcionadas por el sistema gestor.
484,5,f,Se han definido procedimientos y funciones de usuario.
484,5,g,Se han utilizado estructuras de control de flujo.
484,5,h,Se han definido eventos y disparadores.
484,5,i,Se han utilizado cursores.
484,5,j,Se han utilizado excepciones.
484,6,a,Se han utilizado herramientas gráficas para representar el diseño lógico.
484,6,b,Se han identificado las tablas del diseño lógico.
484,6,c,Se han identificado los campos que forman parte de las tablas del diseño lógico.
484,6,d,Se han analizado las relaciones entre las tablas del diseño lógico.
484,6,e,Se han identificado los campos clave.
484,6,f,Se han aplicado reglas de integridad.
484,6,g,Se han aplicado reglas de normalización.
484,6,h,Se han analizado y documentado las restricciones que no pueden plasmarse en el diseño lógico.
484,7,a,Se han caracterizado las bases de datos no relacionales.
484,7,b,Se han evaluado los principales tipos de bases de datos no relacionales.
484,7,c,Se han identificado los elementos utilizados en estas bases de datos.
484,7,d,Se han identificado distintas formas de gestión de la información según el tipo de base de datos no relacionales.
484,7,e,Se han utilizado las herramientas del sistema gestor para la gestión de la información almacenada.
485,1,a,Se han identificado los bloques que componen la estructura de un programa informático.
485,1,b,Se han creado proyectos de desarrollo de aplicaciones.
485,1,c,Se han utilizado entornos integrados de desarrollo.
485,1,d,Se han identificado los distintos tipos de variables y la utilidad específica de cada uno.
485,1,e,Se ha modificado el código de un programa para crear y utilizar variables.
485,1,f,Se han creado y utilizado constantes y literales.
485,1,g,"Se han clasificado, reconocido y utilizado en expresiones los operadores del lenguaje."
485,1,h,Se ha comprobado el funcionamiento de las conversiones de tipo explícitas e implícitas.
485,1,i,Se han introducido comentarios en el código.
485,2,a,Se han identificado los fundamentos de la programación orientada a objetos.
485,2,b,Se han escrito programas simples.
485,2,c,Se han instanciado objetos a partir de clases predefinidas.
485,2,d,Se han utilizado métodos y propiedades de los objetos.
485,2,e,Se han escrito llamadas a métodos estáticos.
485,2,f,Se han utilizado parámetros en la llamada a métodos.
485,2,g,Se han incorporado y utilizado librerías de objetos.
485,2,h,Se han utilizado constructores.
485,2,i,Se ha utilizado el entorno integrado de desarrollo en la creación y compilación de programas simples.
485,3,a,Se ha escrito y probado código que haga uso de estructuras de selección.
485,3,b,Se han utilizado estructuras de repetición.
485,3,c,Se han reconocido las posibilidades de las sentencias de salto.
485,3,d,Se ha escrito código utilizando control de excepciones.
485,3,e,Se han creado programas ejecutables utilizando diferentes estructuras de control.
485,3,f,Se han probado y depurado los programas.
485,3,g,Se ha comentado y documentado el código.
485,3,h,Se han creado excepciones.
485,3,i,Se han utilizado aserciones para la detección y corrección de errores durante la fase de desarrollo.
485,4,a,"Se ha reconocido la sintaxis, estructura y componentes típicos de una clase."
485,4,b,Se han definido clases.
485,4,c,Se han definido propiedades y métodos.
