cod_modulo,nombre_modulo
483,Sistemas informáticos
484,Bases de Datos
485,Programación
373,Lenguajes de Marcas y Sistemas de Gestión de Información.
487,Entornos de desarrollo
612,Desarrollo Web en entorno cliente.
613,Desarrollo Web en entorno servidor.
614,Despliegue de aplicaciones Web.
615,Diseño de interfaces web
3029,Montaje y mantenimiento de sistemas y componentes informáticos
3030,Operaciones auxiliares para la configuración y la explotación
3031,Ofimática y archivo de documentos
3016,Instalación y mantenimiento de redes para transmisión de datos
369,Implantación de Sistemas Operativos
370,Planificación y Administración de Redes.
371,Fundamentos de Hardware.
372,Gestión de Base de Datos
374,Administración de Sistemas Operativos
375,Servicios de Red e Internet.
376,Implantación de Aplicaciones Web.
377,Administración de Sistemas Gestores de Bases de Datos.
378,Seguridad y Alta Disponibilidad.
486,Acceso a datos
488,Desarrollo de interfaces
489,Programación multimedia y dispositivos móviles
490,Programación de servicios y procesos.
491,Sistemas de gestión empresarial
221,Montaje y mantenimiento de equipos
222,Sistemas operativos monopuesto
223,Aplicaciones ofimáticas
225,Redes locales
224,Sistemas operativos en red
226,Seguridad informática
227,Servicios en red
228,Aplicaciones web
3015,Equipos eléctricos y electrónicos.
3001,Tratamiento informático de datos
3002,Aplicaciones básicas de ofimática
3003,Técnicas administrativas básicas
3004,Archivo y comunicación
3005,Atención al cliente
3006,Preparación de pedidos y venta de productos
437,Comunicación y atención al cliente
438,Operaciones adminstrativas d ela compraventa
439,Empresa y administración
440,Tratamiento informático de la información
441,Técnica Contable
442,Operaciones adminstrativas de recursos humanos
443,Tratamiento de la documetnación contable
446,Empresa en el Aula
647,Gestión de la documentación jurídica y empresarial
648,Recursos Humanos y responsabilidad social corporativa.
649,Ofimática y proceso de la información
650,Proceso integral de la actividad comercial
651,Comunicación y atención al cliente
652,Gestión de recursos humanos
653,Gestión Financiera
654,Contabilidad y Fiscalidad
645,Gestión Logística y Comercial
1226,Marketing en la actividad comercial
1229,Gestión de compras
1231,Dinamización del punto de venta
1232,Procesos de Venta
1233,Aplicaciones informáticas para el comercio
1234,Servicios de atención comercial
1235,Comercio electrónico
1227,Gestión de un pequeño comercio
1228,Técnicas de almacén.
1230,Venta técnica
3069,Técnicas básicas de merchandising
3070,Operaciones auxiliares de almacenaje.
