cod_modulo,id_ra,definicion,tipo
483,1,"Evalúa sistemas informáticos, identificando sus componentes y características.",
483,3,"Evalúa sistemas informáticos, identificando sus componentes y características.",
483,2,Instala sistemas operativos planificando el proceso e interpretando documentación técnica.,
483,4,Gestiona sistemas operativos utilizando comandos y herramientas gráficas y evaluando las necesidades del sistema.,
483,5,Interconecta sistemas en red configurando dispositivos y protocolos.,
483,6,Opera sistemas en red gestionando sus recursos e identificando las restricciones de seguridad existentes.,
483,7,Elabora documentación valorando y utilizando aplicaciones informáticas de propósito general.,X
484,1,Reconoce los elementos de las bases de datos analizando sus funciones y valorando la utilidad de los sistemas gestores.,
484,2,Crea bases de datos definiendo su estructura y las características de sus elementos según el modelo relacional.,
484,3,"Consulta la información almacenada en una base de datos empleando asistentes, herramientas gráficas y el lenguaje de manipulación de datos.",X
484,4,"Modifica la información almacenada en la base de datos utilizando asistentes, herramientas gráficas y el lenguaje de manipulación de datos.",
484,5,Desarrolla procedimientos almacenados evaluando y utilizando las sentencias del lenguaje incorporado en el sistema gestor de bases de datos.,
484,6,Diseña modelos relacionales normalizados interpretando diagramas entidad/relación.,
484,7,"Gestiona la información almacenada en bases de datos no relacionales, evaluando y utilizando las posibilidades que proporciona el sistema gestor.",
485,1,"Reconoce la estructura de un programa informático, identificando y relacionando los elementos propios del lenguaje de programación utilizado.",
485,2,"Escribe y prueba programas sencillos, reconociendo y aplicando los fundamentos de la programación orientada a objetos.",
485,3,"Escribe y depura código, analizando y utilizando las estructuras de control del lenguaje.",X
485,4,Desarrolla programas organizados en clases analizando y aplicando los principios de la programación orientada a objetos.,
485,5,"Realiza operaciones de entrada y salida de información, utilizando procedimientos específicos del lenguaje y librerías de clases.",
485,6,Escribe programas que manipulen información seleccionando y utilizando tipos avanzados de datos.,
485,7,Desarrolla programas aplicando características avanzadas de los lenguajes orientados a objetos y del entorno de programación.,
485,8,"Utiliza bases de datos orientadas a objetos, analizando sus características y aplicando técnicas para mantener la persistencia de la información.",
485,9,Gestiona información almacenada en bases de datos manteniendo la integridad y consistencia de los datos.,
373,1,Reconoce las características de lenguajes de marcas analizando e interpretando fragmentos de código.,
373,2,Utiliza lenguajes de marcas para la transmisión y presentación de información a través de la web analizando la estructura de los documentos e identificando sus elementos.,X
373,3,Accede y manipula documentos web utilizando lenguajes de script de cliente.,
373,4,Establece mecanismos de validación de documentos para el intercambio de información utilizando métodos para definir su sintaxis y estructura.,
373,5,"Realiza conversiones sobre documentos para el intercambio de información utilizando técnicas, lenguajes y herramientas de procesamiento.",
373,6,Gestiona la información en formatos de intercambio de datos analizando y utilizando tecnologías de almacenamiento y lenguajes de consulta.,
373,7,"Opera sistemas empresariales de gestión de información realizando tareas de importación, integración, aseguramiento y extracción de la información.",
487,1,"Reconoce los elementos y herramientas que intervienen en el desarrollo de un programa informático, analizando sus características y las fases en las que actúan hasta llegar a su puesta en funcionamiento.",
487,2,Evalúa entornos integrados de desarrollo analizando sus características para editar código fuente y generar ejecutables.,
487,3,Verifica el funcionamiento de programas diseñando y realizando pruebas.,X
487,4,Optimiza código empleando las herramientas disponibles en el entorno de desarrollo.,
487,5,Genera diagramas de clases valorando su importancia en el desarrollo de aplicaciones y empleando herramientas específicas.,
487,6,Genera diagramas de comportamiento valorando su importancia en el desarrollo de aplicaciones y empleando herramientas específicas.,
612,1,"Selecciona las arquitecturas y tecnologías de programación sobre clientes web, identificando y analizando las capacidades y características de cada una.",
612,2,"Escribe sentencias simples, aplicando la sintaxis del lenguaje y verificando su ejecución sobre navegadores web.",
612,3,"Escribe código, identificando y aplicando las funcionalidades aportadas por los objetos predefinidos del lenguaje.",
612,4,Programa código para clientes web analizando y utilizando estructuras definidas por el usuario.,X
612,5,Desarrolla aplicaciones web interactivas integrando mecanismos de manejo de eventos.,
612,6,Desarrolla aplicaciones web analizando y aplicando las características del modelo de objetos del documento.,
612,7,"Desarrolla aplicaciones web dinámicas, reconociendo y aplicando mecanismos de comunicación asíncrona entre cliente y servidor.",
613,1,"Selecciona las arquitecturas y tecnologías de programación web en entorno servidor, analizando sus capacidades y características propias.",
613,2,Escribe sentencias ejecutables por un servidor web reconociendo y aplicando procedimientos de integración del código en lenguajes de marcas.,
613,3,"Escribe bloques de sentencias embebidos en lenguajes de marcas, seleccionando y utilizando las estructuras de programación.",
613,4,Desarrolla aplicaciones web embebidas en lenguajes de marcas analizando e incorporando funcionalidades según especificaciones.,
613,5,Desarrolla aplicaciones web identificando y aplicando mecanismos para separar el código de presentación de la lógica de negocio.,X
613,6,"Desarrolla aplicaciones web de acceso a almacenes de datos, aplicando medidas para mantener la seguridad y la integridad de la información.",
613,7,"Desarrolla servicios web reutilizables y accesibles mediante protocolos web, verificando su funcionamiento.",
613,8,Genera páginas web dinámicas analizando y utilizando tecnologías y frameworks del servidor web que añadan código al lenguaje de marcas.,
613,9,"Desarrolla aplicaciones web híbridas seleccionando y utilizando tecnologías, frameworks servidor y repositorios heterogéneos de información.",
614,1,Implanta arquitecturas web analizando y aplicando criterios de funcionalidad.,
614,2,"Implanta aplicaciones web en servidores web, evaluando y aplicando criterios de configuración para su funcionamiento seguro.",
614,3,"Implanta aplicaciones web en servidores de aplicaciones, evaluando y aplicando criterios de configuración para su funcionamiento seguro.",X
614,4,"Administra servidores de transferencia de archivos, evaluando y aplicando criterios de configuración que garanticen la disponibilidad del servicio.",
614,5,Verifica la ejecución de aplicaciones web comprobando los parámetros de configuración de servicios de red.,
614,6,"Elabora la documentación de la aplicación web evaluando y seleccionando herramientas de generación de documentación, control de versiones y de integración continua.",
615,1,Planifica la creación de una interfaz web valorando y aplicando especificaciones de diseño.,X
615,2,Crea interfaces web homogéneos definiendo y aplicando estilos.,
615,3,"Prepara archivos multimedia para la web, analizando sus características y manejando herramientas específicas.",
615,4,Integra contenido multimedia en documentos web valorando su aportación y seleccionando adecuadamente los elementos interactivos.,
615,5,"Desarrolla interfaces web accesibles, analizando las pautas establecidas y aplicando técnicas de verificación.",
615,6,Desarrolla interfaces web amigables analizando y aplicando las pautas de usabilidad establecidas.,
3029,1,"Selecciona los componentes y herramientas para la realización del montaje y mantenimiento de sistemas microinformáticos, describiéndolos y relacionándolos con su función y aplicación en la instalación.",
3029,2,"Ensambla los componentes hardware de un equipo microinformático, interpretando guías e instrucciones y aplicando técnicas de montaje.",
3029,3,Instala sistemas operativos monopuesto identificando las fases del proceso y relacionándolas con la funcionalidad de la instalación.,
3029,4,"Comprueba la funcionalidad de los sistemas, soportes y periféricos instalados relacionando las intervenciones con los resultados a conseguir.",X
